,,

GoodLife Rewards,On-Demand Plus,MindDen rooms,
,Swimming pools,Towel Service,
,Sauna,Hydro Massage,
,Squash,Group fitness and classes,
,MindDen rooms,Recovery,
,Towel Service,REGYMEN,
,Hydro Massage,PEAK Training United,
,Group fitness and classes,Hot Yoga,
,Recovery,Craft Boxing,
,GoodLife Rewards,GoodLife Rewards,
,Family add ons,Family Add Ons,
,Free Membership holds,Free Membership Holds,
Toronto Bell Trinity Centre,483 Bay Street,(416) 408-4856
Toronto 137 Yonge Street,137 Yonge Street,(416) 599-0430
Toronto Richmond And John,267 Richmond Street West,(416) 591-1315
